date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:42	149/149	---M--	200	added ('OK')	text/plain	etag:%22de57457d-42c7-4722-978b-c66b91b7e279%22	http://chapa2integrandoesforcos.blogspot.com/robots.txt		(from )
16:10:42	37170/37170	---M--	200	added ('OK')	text/html	etag:%22de57457d-42c7-4722-978b-c66b91b7e279%22	http://chapa2integrandoesforcos.blogspot.com/	D:/site/chapa2integrandoesforcos.blogspot.com/chapa2integrandoesforcos.blogspot.com/index.html	(from )
16:10:43	5457/5457	---M--	200	added ('OK')	application/atom+xml	date:Wed,%2013%20Jan%202010%2005:09:45%20GMT	http://chapa2integrandoesforcos.blogspot.com/feeds/posts/default	D:/site/chapa2integrandoesforcos.blogspot.com/chapa2integrandoesforcos.blogspot.com/feeds/posts/defaulthtml.html	(from )
16:10:44	4083/4083	---M--	200	added ('OK')	application/rss+xml	date:Wed,%2013%20Jan%202010%2005:09:45%20GMT	http://chapa2integrandoesforcos.blogspot.com/feeds/posts/default?alt=rss	D:/site/chapa2integrandoesforcos.blogspot.com/chapa2integrandoesforcos.blogspot.com/feeds/posts/default9522html.html	(from )
16:10:45	13583/13583	---MC-	200	added ('OK')	text/css	date:Tue,%2009%20Nov%202010%2009:39:08%20GMT	http://www.blogger.com/static/v1/widgets/3734822104-widget_css_bundle.css	D:/site/chapa2integrandoesforcos.blogspot.com/www.blogger.com/static/v1/widgets/3734822104-widget_css_bundle.css	(from )
16:10:45	1/1	---MC-	200	added ('OK')	text/css	date:Mon,%2006%20Dec%202010%2018:10:43%20GMT	http://www.blogger.com/dyn-css/authorization.css?targetBlogID=3363221085797585728&zx=de57457d-42c7-4722-978b-c66b91b7e279	D:/site/chapa2integrandoesforcos.blogspot.com/www.blogger.com/dyn-css/authorizationfd23.css	(from )
16:10:46	195/195	---M--	200	added ('OK')	image/gif	date:Thu,%2025%20Mar%202010%2009:42:43%20GMT	http://www1.blogblog.com/rounders3/corners_main_bot.gif	D:/site/chapa2integrandoesforcos.blogspot.com/www1.blogblog.com/rounders3/corners_main_bot.gif	(from )
16:10:46	194/194	---M--	200	added ('OK')	image/gif	date:Thu,%2025%20Mar%202010%2009:42:43%20GMT	http://www1.blogblog.com/rounders3/corners_main_top.gif	D:/site/chapa2integrandoesforcos.blogspot.com/www1.blogblog.com/rounders3/corners_main_top.gif	(from )
16:10:47	133/133	---M--	200	added ('OK')	image/gif	date:Thu,%2025%20Mar%202010%2009:42:43%20GMT	http://www.blogblog.com/rounders3/rails_main.gif	D:/site/chapa2integrandoesforcos.blogspot.com/www.blogblog.com/rounders3/rails_main.gif	(from )
16:10:47	180/180	---M--	200	added ('OK')	image/gif	date:Thu,%2025%20Mar%202010%2009:42:43%20GMT	http://www2.blogblog.com/rounders3/corners_cap_top.gif	D:/site/chapa2integrandoesforcos.blogspot.com/www2.blogblog.com/rounders3/corners_cap_top.gif	(from )
