date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:14	144/144	---M--	200	added ('OK')	text/plain	etag:%22b904003-130-41a7982c29d80%22	http://www.movimentohermes.com.br/robots.txt		(from )
11:50:15	50706/50706	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:22%20GMT	http://www.movimentohermes.com.br/	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/index.html	(from )
11:50:15	22375/22375	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2005%20Dec%202010%2013:50:23%20GMT	http://www.movimentohermes.com.br/index.php?format=feed&type=rss	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/indexc0d0.php	(from )
11:50:16	51553/51553	---MC-	200	added ('OK')	application/atom+xml	date:Sun,%2005%20Dec%202010%2013:50:24%20GMT	http://www.movimentohermes.com.br/index.php?format=feed&type=atom	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/index7b17.php	(from )
11:50:16	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22c8609c-47e-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/favicon.ico	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/favicon.ico	(from )
11:50:17	3179/3179	---M--	200	added ('OK')	text/css	etag:%2215e6066-c6b-491edce952480%22	http://www.movimentohermes.com.br/plugins/content/ja_tabs/ja.tabs.css	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/plugins/content/ja_tabs/ja.tabs.css	(from )
11:50:17	813/813	---M--	200	added ('OK')	text/css	etag:%22186e01f-32d-491edceb3a900%22	http://www.movimentohermes.com.br/modules/mod_jatwitter/assets/style.css	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/modules/mod_jatwitter/assets/style.css	(from )
11:50:17	2519/2519	---M--	200	added ('OK')	text/css	etag:%22181c072-9d7-491edce952480%22	http://www.movimentohermes.com.br/modules/mod_ja_contentslide/assets/css/ja_contentslide.css	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/modules/mod_ja_contentslide/assets/css/ja_contentslide.css	(from )
11:50:17	2652/2652	---M--	200	added ('OK')	text/css	etag:%22c860b2-a5c-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/css/ja_contentslide.css	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/css/ja_contentslide.css	(from )
11:50:18	6770/6770	---M--	200	added ('OK')	text/css	etag:%221878026-1a72-491edce952480%22	http://www.movimentohermes.com.br/modules/mod_jaslideshow2/assets/style.css	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/modules/mod_jaslideshow2/assets/style.css	(from )
11:50:18	7664/7664	---M--	200	added ('OK')	text/css	etag:%22c860a7-1df0-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/css/mod_jaslideshow2.css	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/css/mod_jaslideshow2.css	(from )
11:50:19	1963/1963	---M--	200	added ('OK')	application/javascript	etag:%22c88427-7ab-4801d2f406980%22	http://www.movimentohermes.com.br/media/system/js/caption.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/media/system/js/caption.js	(from )
11:50:21	6996/6996	---M--	200	added ('OK')	application/javascript	etag:%2218200c0-1b54-491edce952480%22	http://www.movimentohermes.com.br/modules/mod_ja_contentslide/assets/js/ja_contentslide.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/modules/mod_ja_contentslide/assets/js/ja_contentslide.js	(from )
11:50:22	14843/14843	---M--	200	added ('OK')	application/javascript	etag:%2215e6063-39fb-491edce952480%22	http://www.movimentohermes.com.br/plugins/content/ja_tabs/ja.tabs.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/plugins/content/ja_tabs/ja.tabs.js	(from )
11:50:24	17901/17901	---M--	200	added ('OK')	application/javascript	etag:%22c8a841-45ed-49519b23e7000%22	http://www.movimentohermes.com.br/plugins/content/jw_allvideos/includes/players/wmvplayer/silverlight.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/plugins/content/jw_allvideos/includes/players/wmvplayer/silverlight.js	(from )
11:50:25	19538/19538	---M--	200	added ('OK')	application/javascript	etag:%221878031-4c52-491edce952480%22	http://www.movimentohermes.com.br/modules/mod_jaslideshow2/assets/script.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/modules/mod_jaslideshow2/assets/script.js	(from )
11:50:26	6770/6770	---M--	200	added ('OK')	application/javascript	etag:%22c8a83a-1a72-49519b23e7000%22	http://www.movimentohermes.com.br/plugins/content/jw_allvideos/includes/jw_allvideos.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/plugins/content/jw_allvideos/includes/jw_allvideos.js	(from )
11:50:26	74434/74434	---M--	200	added ('OK')	application/javascript	etag:%22c8842c-122c2-476a87cd8aa00%22	http://www.movimentohermes.com.br/media/system/js/mootools.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/media/system/js/mootools.js	(from )
11:50:26	24010/24010	---M--	200	added ('OK')	application/javascript	etag:%22c8a842-5dca-49519b23e7000%22	http://www.movimentohermes.com.br/plugins/content/jw_allvideos/includes/players/wmvplayer/wmvplayer.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/plugins/content/jw_allvideos/includes/players/wmvplayer/wmvplayer.js	(from )
11:50:26	2777/2777	---M--	200	added ('OK')	text/css	etag:%22c86419-ad9-4801d2f406980%22	http://www.movimentohermes.com.br/templates/system/css/general.css	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/system/css/general.css	(from )
11:50:28	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Dec%202010%2013:50:36%20GMT	http://www.movimentohermes.com.br/templates/ja_pyro	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro.19.delayed	(from )
11:50:29	7298/7298	---M--	200	added ('OK')	application/javascript	etag:%22c86224-1c82-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/js/ja.script.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/js/ja.script.js	(from )
11:50:29	44755/44755	---M--	200	added ('OK')	text/css	etag:%22c860b0-aed3-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/css/template.css	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/css/template.css	(from )
11:50:31	16374/16374	---M--	200	added ('OK')	application/javascript	etag:%22c86225-3ff6-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/js/ja.ddmod.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/js/ja.ddmod.js	(from )
11:50:31	11261/11261	---M--	200	added ('OK')	text/css	etag:%22c860aa-2bfd-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/css/menu/mega.css	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/css/menu/mega.css	(from )
11:50:31	14106/14106	---M--	200	added ('OK')	application/javascript	etag:%22c86227-371a-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/js/menu/mega.js	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/js/menu/mega.js	(from )
11:50:31	762/762	---M--	200	added ('OK')	text/css	etag:%22c860b7-2fa-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/css/colors/default.css	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/css/colors/default.css	(from )
11:50:32	50733/50733	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:40%20GMT	http://www.movimentohermes.com.br/index.php	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/index-2.html	(from )
11:50:33	12965/12965	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:40%20GMT	http://www.movimentohermes.com.br/diretorias.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/diretorias.html	(from )
11:50:33	20949/20949	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:41%20GMT	http://www.movimentohermes.com.br/projetos.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos.html	(from )
11:50:33	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Dec%202010%2013:50:41%20GMT	http://www.movimentohermes.com.br/tudo	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/tudo.22.delayed	(from )
11:50:34	12414/12414	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:42%20GMT	http://www.movimentohermes.com.br/acoes.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/acoes.html	(from )
11:50:34	1466/1466	---M--	404	error ('Artigo%20#0%20não%20encontrado')	text/html	date:Sun,%2005%20Dec%202010%2013:50:42%20GMT	http://www.movimentohermes.com.br/component/content/article/demo-slideshow/hermes.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/component/content/article/demo-slideshow/hermes.25.delayed	(from )
11:50:35	1466/1466	---M--	404	error ('Artigo%20#0%20não%20encontrado')	text/html	date:Sun,%2005%20Dec%202010%2013:50:43%20GMT	http://www.movimentohermes.com.br/component/content/article/demo-slideshow/quem-somos.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/component/content/article/demo-slideshow/quem-somos.26.delayed	(from )
11:50:35	1466/1466	---M--	404	error ('Artigo%20#0%20não%20encontrado')	text/html	date:Sun,%2005%20Dec%202010%2013:50:43%20GMT	http://www.movimentohermes.com.br/component/content/article/demo-slideshow/por-que-nos.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/component/content/article/demo-slideshow/por-que-nos.27.delayed	(from )
11:50:36	8820/8820	---M--	200	added ('OK')	image/png	etag:%22189c039-2274-491edcf894880%22	http://www.movimentohermes.com.br/images/stories/demo/slideshow/sl-4.png	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/images/stories/demo/slideshow/sl-4.png	(from )
11:50:36	166/166	---M--	200	added ('OK')	image/gif	etag:%22c8616c-a6-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/images/re-left.gif	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/images/re-left.gif	(from )
11:50:36	166/166	---M--	200	added ('OK')	image/gif	etag:%22c86125-a6-491edcf4c3f80%22	http://www.movimentohermes.com.br/templates/ja_pyro/images/re-right.gif	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/templates/ja_pyro/images/re-right.gif	(from )
11:50:37	15013/15013	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:45%20GMT	http://www.movimentohermes.com.br/projetos/olimpiadas-sedentarias-do-ceue.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/olimpiadas-sedentarias-do-ceue.html	(from )
11:50:38	17938/17938	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:45%20GMT	http://www.movimentohermes.com.br/projetos/fliperama-no-ceue.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/fliperama-no-ceue.html	(from )
11:50:38	17941/17941	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Dec%202010%2013:50:46%20GMT	http://www.movimentohermes.com.br/projetos/fliperama-no-ceue.html'	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/fliperama-no-ceue.2f.delayed	(from )
11:50:39	17004/17004	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:47%20GMT	http://www.movimentohermes.com.br/projetos/republica-do-ceue.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/republica-do-ceue.html	(from )
11:50:40	17007/17007	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Dec%202010%2013:50:47%20GMT	http://www.movimentohermes.com.br/projetos/republica-do-ceue.html'	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/republica-do-ceue.31.delayed	(from )
11:50:40	16373/16373	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:48%20GMT	http://www.movimentohermes.com.br/projetos/apoio-a-criacao-e-modernizacao-de-laboratorios.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/apoio-a-criacao-e-modernizacao-de-laboratorios.html	(from )
11:50:41	16376/16376	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Dec%202010%2013:50:48%20GMT	http://www.movimentohermes.com.br/projetos/apoio-a-criacao-e-modernizacao-de-laboratorios.html'	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/apoio-a-criacao-e-modernizacao-de-laboratorios.33.delayed	(from )
11:50:41	31150/31150	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:49%20GMT	http://www.movimentohermes.com.br/projetos/resumo-das-acoes-de-do-movimento-hermes-na-escola-de-engenharia.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/resumo-das-acoes-de-do-movimento-hermes-na-escola-de-engenharia.html	(from )
11:50:42	31153/31153	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Dec%202010%2013:50:50%20GMT	http://www.movimentohermes.com.br/projetos/resumo-das-acoes-de-do-movimento-hermes-na-escola-de-engenharia.html'	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/resumo-das-acoes-de-do-movimento-hermes-na-escola-de-engenharia.35.delayed	(from )
11:50:43	20641/20641	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:50%20GMT	http://www.movimentohermes.com.br/projetos/ceue-apoia-teu-subcentro.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/ceue-apoia-teu-subcentro.html	(from )
11:50:43	20644/20644	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Dec%202010%2013:50:51%20GMT	http://www.movimentohermes.com.br/projetos/ceue-apoia-teu-subcentro.html'	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/ceue-apoia-teu-subcentro.37.delayed	(from )
11:50:44	21860/21860	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:52%20GMT	http://www.movimentohermes.com.br/acoes/realizadas.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/acoes/realizadas.html	(from )
11:50:44	16334/16334	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:52%20GMT	http://www.movimentohermes.com.br/projetos/semana-academica-integrada-da-engenharia.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/semana-academica-integrada-da-engenharia.html	(from )
11:50:45	15910/15910	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:52%20GMT	http://www.movimentohermes.com.br/projetos/programa-de-apoio-a-mobilidade-entre-engenharias.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/programa-de-apoio-a-mobilidade-entre-engenharias.html	(from )
11:50:45	15685/15685	---MC-	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202010%2013:50:53%20GMT	http://www.movimentohermes.com.br/projetos/grupos-de-estudos-ceue.html	D:/site/movimentohermes.com.br/www.movimentohermes.com.br/projetos/grupos-de-estudos-ceue.html	(from )
